"";"Title";"N.Article";"Authors";"Year";"Document.Type";"Source.Title";"Language";"Authors.Keywords";"Abstract";"ISSN";"Cited.by";"Publisher.Country";"Source"
"537";"Higher education students’ assessments towards gamification and sustainability: A case study";43;"Santos-Villalba M.J., Olivencia J.J.L., Navas-Parejo M.R., Benítez-Márquez M.D.,";2020;"Article";"Sustainability (Switzerland)";"English";"Attitude; Gamification; Higher education; Mediation; Motivation; PLS-SEM; Sustainability attitude";"Some academics are pushing for teaching staff to implement didactical practices to obtain sustainable behavior. Moreover, a fundamental element of gamification in all educational stages is the noteworthy effect it has on student motivation. In our study, we examined higher education students’ assessments in the University of Malaga on the design of educational gamification and the teaching criteria that relate to gamification, and its effect on student’s motivation, the applications of gamification, and the attitude towards sustainability. A questionnaire was administered to students studying for degrees in education from the University of Malaga. A total of 187 valid surveys were obtained. Partial least squares structural equation modeling was computed for these data based on an exploratory–confirmatory model and using SmartPLS version 3.3.2. A positive relationship between assessment of students’ motivation and sustainability attitude was found. We found that the opinions of the students about the role of their training and teaching design material in education would affect students’ motivation and the sustainability behavior, although the power of this last construct is moderate. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.";"20711050";2;"Spain";"Scopus"
"538";"Higher education students’ attitude towards the use of gamification for competencies development";724;"Galbis-Córdova A., Martí-Parreño J., Currás-Pérez R.,";2017;"Review";"Journal of E-Learning and Knowledge Society";"English";"Attitude; Competencies; Gamification; Higher education; PLS";"Gamification is gaining momentum as an educational innovation to motivate and to engage students in their learning process. Nevertheless students’ beliefs towards educational methodologies can affect both their motivation and attitude towards a given educational methodology. This study main goal is to explore key drivers of students’ attitude towards the use of gamification as an educational methodology to develop their competencies. Using Keller’s ARCS model (1987) a research model is developed and tested via Partial Least Squares (PLS) on a sample of 128 undergraduate students enrolled in a private Higher Education institution in Spain. Main results suggest that perceived attention, perceived relevance, and perceived confidence influence in a direct and positive way students’ attitude towards the use of online educational video games to develop their competencies. Both attention and confidence also affects students’ perceived relevance of online educational video games as a suitable means to develop their competencies. Managerial implications for managers of Higher Education institutions are addressed. © 2017, Italian e-Learning Association. All rights reserved.";"18266223";10;"Spain";"Scopus"
"539";"Home-Based Training Support for Stroke Patients Using the Leap Motion and StandInExercise Stand";629;"Psychouli P., Katzis K., Elliott M.,";2018;"Article";"Studies in Health Technology and Informatics";"English";"Gamification; Rehabilitation; Technology; User-feedback";"Rehabilitation aims at brain rewiring through intensive practice following brain injury. This paper presents a new supportive mechanism that will be used to isolate wrist movement and in combination to the use of serious games, to act as a motivational tool to improve adherence during home-based practice. The paper describes the proposed methodology employed to carry out the home-based programme while leap motion is used to monitor and evaluate these exercises. © 2018 The authors and IOS Press. All rights reserved.";"09269630";3;"United Kingdom";"Scopus"
"540";"Hortari: A gamification application for engaged teaching and learning in higher education";729;"Landicho J.A., Dela Cerna A.P.A., Marapao J.J.G., Balhin G.P., Paid R.M.,";2017;"Review";"Journal of E-Learning and Knowledge Society";"English";"Gamification; Lessons; Mobile app; Syllabus; Table of specification";"The primary purpose of this study is to create gamification application in both web and mobile to motivate and engage students in learning their lessons to a certain subject. The incorporation of gamification into classroom activities has shown positive results in terms of student’s performance and productivity. Incorporating lessons, creating syllabus, and integrating table of Specification are among the fundamental features of the application that made it distinctive to the other existing gamification application. Integrating Table of specification in the application helps the students to recognize main ideas, key skills, and the relationships among concepts more easily. Creating a detailed course syllabus showed connection between course goals and course requirements and have been found to be most effective in achieving positive student outcomes. The results of the test survey and evaluation form were analyzed and proved the effectiveness of usability and functionality of the application. © 2017, Italian e-Learning Association. All rights reserved.";"18266223";2;"Philippines";"Scopus"
"541";"How gamification motivates visits and engagement for online academic dissemination - An empirical study";801;"Kuo M.-S., Chuang T.-Y.,";2016;"Article";"Computers in Human Behavior";"English";"Academic dissemination; Game elements; Game mechanisms; Gamification; Web analytics";"Gamification, an emerging trend of using game mechanisms or elements in non-game contexts for commercial or educational purposes, has been applied in advertisements, competitions and rewards for many years. Although gamification could easily be applied to various daily activities, challenges arise when digitizing it for use online with educational applications. The purpose of this study is thus to apply gamification to an online context for academic promotion and dissemination. An online platform was designed to involve faculty members, students, and visitors from industry and the general public to form groups for the mutual dissemination of academic knowledge, products and activities. Both quantitative and qualitative data were collected and analyzed. The findings with regard to the most significant game design elements are discussed, along with the statistical results related to the engagement behaviors demonstrated by the participants. The quantitative data provided by the online analytical tools to examine user behaviors reveals that gamification has the potential to attract, motivate, engage and retain users. The system implementation used in this work is described, and provides empirical examples of how gamification impacts user behaviors in this context. This study also demonstrates how the theory and practice of online gamification for use in academia can be connected. © 2015 Elsevier Ltd.";"07475632";95;"Taiwan";"Scopus"
"542";"How to gamify learning systems? An experience report using the design sprint method and a taxonomy for gamification elements in education";340;"Toda A.M., Palomino P.T., Oliveira W., Rodrigues L., Klock A.C.T., Gasparini I., Cristea A.I., Isotani S.,";2019;"Article";"Educational Technology and Society";"English";"Design; Design sprint; Educatiojii; Gamification; Taxonomy";"One of the main goals of gamification in educational settings is to increase student motivation and engagement. To facilitate the design of gamified educational systems, in recent years, studies have proposed various approaches (e.g., methodologies, frameworks and models). One of the main problems, however, is that most of these approaches are theoretical, and do not provide a proof-of-concept. This paper advances the state of the art by providing a practical way to help implement this kind of system. In this study, we present, for the first time, how one can apply gamification elements in a learning system using the Design Sprint method, to guide designers and developers on replicating this process. Additionally, as starting point, we use a taxonomy composed of 21 game elements, proposed to be used within learning environments, organised into five game element categories, according to their goal/usage. Our main contribution is to present how to systematically implement the gamification elements focused on educational ends, which is of special value to practitioners, designers and developers. © 2019 National Taiwan Normal University.";"11763647";2;"United Kingdom";"Scopus"
"543";"Hybridisation of the teaching personal and social responsibility model and gamification in physical education";103;"Valero-Valenzuela A., García D.G., Camerino O., Manzano D.,";2020;"Article";"Apunts. Educacion Fisica y Deportes";"English";"Mixed methods re-search; Pedagogical innovation; Pedagogical model; T-pattern detection";"The purpose of this study was to analyse the outcome of a teaching intervention based on hybridising the Teaching Personal and Social Responsibility (TPSR) pedagogical model and innovative gamification strategy. It uses a mixed methods analysis consisting of the observation of teacher-student interaction and student motivation questionnaires to demonstrate the impact of this innovative teaching approach on both genders. The sample consisted of 55 students from a school in the Region of Murcia (28 girls and 27 boys) aged 13 to 17 (M = 14.29; SD = 0.875) from two courses in 2nd- and 3rd-year lower secondary education. The observational analysis of the teacher's performance and teacher-student interactions was conducted by recording ten sessions on video, coded with the Personal and Social Responsibility Observation (SORPS) instrument and recorded with the LINCE v.2.0 software. The THEME v.6 Edu. software was used to obtain the behavioural temporal patterns (t-patterns). The Secondary Education Motivation Scale (EME-S) was administered to analyse the students' self-determined motivation and the data were entered in the SPSS v.22.0 statistical program to perform the Wilcoxon signed-rank test. The results showed a clear assignment of autonomy and responsibility to the participants in the teacher's behaviours which generated greater self-determined motivation among the students. In conclusion, the application of a programme based on hybridising the TPSR pedagogical model and gamification is effective in improving student levels of autonomy, responsibility and motivation. © Copyright Generalitat de Catalunya (INEFC). This article is available from url https://www.revista-apunts.com/en/. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License. The images or other third party material in this article are included in the article's Creative Commons license, unless indicated otherwise in the credit line; if the material is not included under the Creative Commons license, users will need to obtain permission from the license holder to reproduce the material. To view a copy of this license, visit http://creativecommons.org/licenses/by-nc-nd/4.0/";"15774015";1;"Spain";"Scopus"
"544";"Hybridizing Cooperative Learning, Adventure Education, and Gamification through orienteering races [Hibridando el Aprendizaje Cooperativo, la Educación Aventura y la Gamificación a través de la carrera de orientación]";207;"Prieto J.L., González-Víllora S., Fernández-Río J.,";2020;"Article";"Retos";"Spanish";"Educational innovation; New advanced technologies; Pedagogical models; Secondary education";"Physical activity practice in the outdoors does not guarantee students' learning, since it can be reduced to technical skills or pleasant sensations. This article presents an educative innovation proposal, which aims to adapt the rules of orienteering races to the school environment; it promotes the development of social and interpersonal skills, as well as the understanding, preservation, and appreciation of the richness of the outdoors. To achieve it, Adventure Education, experiential learning, has been hybridized with Cooperative Learning, promoting interpersonal connections, and Gamification, providing a playful distribution of roles and the use of new technologies for self-assessment. Practical guidelines are presented to guide an educational intervention both in the regulations (objectives, participants, and beginning protocol), in the use of materials and spaces (incorporating self-constructed materials: consumer education; mobile apps: appropriate instruction in new technologies), and in formative and shared assessment. © Copyright: Federación Española de Asociaciones de Docentes de Educación Física (FEADEF)";"15791726";5;"Spain";"Scopus"
"545";"i-Sign: Sign language learning application via gamification";448;"Saman B.H., Shariff A.K., Nasaruddin J.E.C.,";2019;"Article";"Asian Journal of University Education";"English";"Game and education; Gamification; Hearing loss; Learning application; Sign language; Special education";"Hearing loss is a type of disability where people who suffer from it could not hear a sound or can only listen to a sound with certain levels. People with hearing loss use sign language to communicate with others and to help them in their learning process. For this study, an interview and survey were conducted with teachers and students from SK Pendidikan Khas Melaka and few problems have been identified in the learning spectrum of children with hearing disability. They face difficulties in learning due to the lack of exposure about the correct sign language since young, difficulty in interpreting sign language in the conventional teaching material due to the nature of its static image contents, and hearing loss children are also usuallyless focused in the learning process and are easily distracted by their surroundings when the class is in session. To solve these problems, i-Sign is developed as a learning application that incorporates simple gamification in its development that could help hearing loss children to learn the alphabet and basic words of sign language. The use of gamification and multimedia elements provide a more interactive and fun learning environment for the students instead of using static contents, and are also used to direct students' attention to the learning activity making them more focused in the learning process. i-Sign was developed using the ADDIE model which includes the Analysis, Design, Development, Implementation, and Evaluation phases. In the evaluation phase, a usability test was conducted on 8 children with hearing loss to test theacceptance of the user towards this application and 91.89% of the respondents found that the application meets their expectation of the application capability in terms of its effectiveness, efficiency and user satisfaction. This shows that gamification can be used as an alternativelearning material for hearing loss children and help expose the correct sign language to them.The application can also be used by the public that wants to learn about sign language. © UiTM Press.";"18237797";NA;"Malaysia";"Scopus"
"546";"ICT-FLAG: A web-based e-assessment platform featuring learning analytics and gamification";743;"Gañán D., Caballé S., Clarisó R., Conesa J., Bañeres D.,";2017;"Article";"International Journal of Web Information Systems";"English";"Advanced web applications; Web data integration; Web-based education";"Purpose - The purpose of this paper is to present an innovative web-based eLearning platform called ICT-FLAG that provides e-assessment tools with general-purpose formative assessment services featuring learning analytics and gamification. Design/methodology/approach - The paper reports on the technical development of the platform driven by the Reference Model for Open Distributed Processing software methodology, which guides the platform construction, including the analysis and design steps. Findings - The ICT-FLAG platform is technically tested by integrating it into a real e-assessment tool. Results are positive in terms of functional and non-functional aspects as well as user's satisfaction on usability, emotional state, thus validating the platform as a valuable educational tool. Research limitations/implications - Because of the chosen technical paper as article type, validation of the impact of the ICT-FLAG platform in the learning process is not provided. Ongoing research with this platform is to measure the learning outcomes of its use in a real context of eLearning. Practical implications - The paper shows implications of the main technical issues and challenges encountered during the integration of the ICT-FLAG platform with external eLearning tools, involving relevant aspects of interoperability, security, modularity, scalability, portability and so on. Originality/value - This platform can fill the gap of many e-assessment systems, which currently do not have built-in analytical and gamification tools for learning, thus providing them with the experience to improve the quality of education and learning. © 2017 Emerald Publishing Limited.";"17440084";11;"Spain";"Scopus"
"547";"IDO: Modelling a serious educational game based on hands approach for training dementia carers";641;"Maskeliunas R., Damaševicius R., Blažauskas T., Paulauskas A., Paulauskas L., Chiatti C.,";2018;"Article";"International Journal of Engineering and Technology(UAE)";"English";"Aging; Assisted living; Dementia; Education of carers; Gerontology; Serious game";"Dementia is one of the burdensome diseases in older age for which there is no cure known. The demand for carers of dementia patients is growing as the population ages. We analyse serious games as an approach to provide dementia carers with training on care related problem solving and modelling real-world cases. We present the behaviour model of improved care process by applying serious games, describe the design of the interactive serious game, its game mechanics, game environment, game actors and the motivation reinforcement mechanisms. The results of the initial evaluation performed by surveying the people caring for their elderly parents and elderly persons themselves, both healthy and showing early signs of dementia, and using the System Usability Score (SUS) questionnaire provided favourable response to the game. The use of an ICT-based gamification approach as part the training package for dementia care will be beneficial for direct care workers leading to long-term improvement of dementia care quality. © 2018 Authors.";"2227524X";3;"Sweden";"Scopus"
"548";"Impact analysis of experience on gamification marketing activities, social media marketing, and other factors toward brand loyalty in online marketplace application";46;"Viega M.T., Napitupulu T.A.,";2020;"Article";"Journal of Theoretical and Applied Information Technology";"English";"Brand attitude; Brand loyalty; Consumer brand engagement; Gamification marketing activities; Online marketplace; Social media marketing";"Gamified method or well known as gamification has been adapted to enhance the primary process in many fields, such as improving lecturing processes in higher education, improving information acceptance rates in health therapy, and recently increasing consumer interaction with different brands in the e-commerce market. Online marketplace application as a popular variety of e-commerce, also following this trend to implement gamification elements in their application to create a better buying experience for their users and to increase the brand loyalty of their users towards various online marketplace applications. Aside from gamification, social media is still one of the most chosen media to be a marketing channel of an online marketplace brand by creating official account and use them to interact intimately with their customers. In this research, we assess the impact of experience on gamification marketing activities and social media marketing, mediated brand attitude, consumer brand engagement, and customer satisfaction towards brand loyalty in Indonesian online marketplace using Structural Equations Modeling (SEM) type of analysis. The finding of the study showed that the brand attitude and customer satisfaction fully mediated the impact of gamification marketing practices on brand loyalty, while social media marketing and consumer brand engagement has no significant effect on brand loyalty. © 2020 Little Lion Scientific. All rights reserved.";"19928645";NA;"Indonesia";"Scopus"
"549";"Impact of a multicomponent digital therapeutic mobile app on medication adherence in patients with chronic conditions: Retrospective analysis";89;"Wiecek E., Torres-Robles A., Cutler R.L., Benrimoj S.I., Garcia-Cardenas V.,";2020;"Article";"Journal of Medical Internet Research";"English";"Gamification; Medication adherence; Medication compliance; mHealth; Mobile apps; Mobile phone";"Background: Strategies to improve medication adherence are widespread in the literature; however, their impact is limited in real practice. Few patients persistently engage long-term to improve health outcomes, even when they are aware of the consequences of poor adherence. Despite the potential of mobile phone apps as a tool to manage medication adherence, there is still limited evidence of the impact of these innovative interventions. Real-world evidence can assist in minimizing this evidence gap. Objective: The objective of this study was to analyze the impact over time of a previously implemented digital therapeutic mobile app on medication adherence rates in adults with any chronic condition. Methods: A retrospective observational study was performed to assess the adherence rates of patients with any chronic condition using Perx Health, a digital therapeutic that uses multiple components within a mobile health app to improve medication adherence. These components include gamification, dosage reminders, incentives, educational components, and social community components. Adherence was measured through mobile direct observation of therapy (MDOT) over 3-month and 6-month time periods. Implementation adherence, defined as the percentage of doses in which the correct dose of a medication was taken, was assessed across the study periods, in addition to timing adherence or percentage of doses taken at the appropriate time (±1 hour). The Friedman test was used to compare differences in adherence rates over time. Results: We analyzed 243 and 130 patients who used the app for 3 months and 6 months, respectively. The average age of the 243 patients was 43.8 years (SD 15.5), and 156 (64.2%) were female. The most common medications prescribed were varenicline, rosuvastatin, and cholecalciferol. The median implementation adherence was 96.6% (IQR 82.1%-100%) over 3 months and 96.8% (IQR 87.1%-100%) over 6 months. Nonsignificant differences in adherence rates over time were observed in the 6-month analysis (Fr(2)=4.314, P=.505) and 3-month analysis (Fr(2)=0.635, P=.728). Similarly, the timing adherence analysis revealed stable trends with no significant changes over time. Conclusions: Retrospective analysis of users of a medication adherence management mobile app revealed a positive trend in maintaining optimal medication adherence over time. Mobile technology utilizing gamification, dosage reminders, incentives, education, and social community interventions appears to be a promising strategy to manage medication adherence in real practice. © 2020 Journal of Medical Internet Research. All rights reserved.";"14388871";NA;"Spain";"Scopus"
"550";"Impact of convergence of smart-technology as compared to traditional methodological tools on fostering cognitive aspects of leadership competencies in the process of vocational training of students";491;"Oleksiyenko O.H., Martsyniak-Dorosh O.M., Mishyn S.V., Buryanovatiy O.M., Yakymchuk B.A.,";2019;"Article";"Journal of Intellectual Disability - Diagnosis and Treatment";"English";"Cognitive skills of leadership; Smart technology; Tertiary institution; Traditional mode of education; Vocational training";"The main objective of this research is to explore how effective and efficient the convergent use of traditional and smart technology tools could be when deployed in fostering leadership competencies of the students in the settings of tertiary vocational education. The experiment involved the students of two universities doing the elective course ""Do Better Your Leadership Skills Up"". Having been split up into two halves, the first part of the focus group used the traditional forms of educational process, while the second one additionally used the software like CogniFit, Lumosity, BrainHQ, NeuroNation, Brain Metrix, Eidetic, Fit Brains, BrainExer 2.0. At the entry stage, the pedagogic surveys had been used as well as the cognitive function test to study the cognitive capabilities of the focus group students. We used a multi method approach of combining the close-ended and open-ended questions to get the feedback and the above cognitive test to measure the output of the study. Quantitative methods had been used to analyze the data and such Covariance-based Structural Equation Modeling (SEM) software as SPSS AMOS had been applied to evaluate the results because cognitive function of a person includes sub-components of latent constructs. Textalyzer software had been used to process the students' responses to open-ended questions of the questionnaire for the most commonly used positive words in the texts, which helped us to identify broad categories of responses. Here, the most commonly used words we had distinguished were ""involvement"", ""improvement"", ""gamification"", ""motivation"", ""speed"", ""concentration"", ""memory"", ""current studies"", ""future job"". Then we distributed the answers by the frequency of the identified words. The responses, which fell under no category, had been analyzed manually. The experimentally obtained data shows that integration of the smart technology into traditional learning environment increases students' involvement by 23%, personal transformation by 18% and motivation by 17%. Our study proves that the convergent mode of instruction brings more benefits to the students in terms of fostering cognitive aspects of leadership competencies in the process of vocational training than the traditional mode. We found that the converged pedagogical mode enhances the collaboration and involvement of all the stakeholders of educational process. It makes students achieve the greatest personal satisfaction through enhanced self-esteem, efficiency gains, a sense of continuous personal achievement and enhanced autonomy and experimenting with their own learning strategies. We suggest universities (of Ukraine, specifically) to provide training to the teachers with all the latest technology, which seems essential for teaching. Academic institutions (of Ukraine) should also invest into research in the area of the educationalpurpose use of smart technology. © 2019 Lifescience Global.";"22922598";1;"Ukraine";"Scopus"
"551";"Imparting CUDA programming technologies based on psychological theories";627;"Chen C., Qi M.,";2018;"Article";"IPPTA: Quarterly Journal of Indian Pulp and Paper Technical Association";"English";"Concrete fading; CUDA programming; Gamification; Self-determination; Teaching strategy";"CUDA (Compute Unified Device Architecture) is an ideal platform for learning parallel programming due to practicability low entry threshold limited financial cost and portability. Students of application-oriented universities are generally motivated to learn new skills like CUDA parallel programming. However, most of such students are facing a high entry barrier due to their comparatively weak theoretical knowledge bases. We design a teaching strategy of CUDA programming aiming at students in this category. Our strategy constitutes of two teaching methods. The first method leverages “concrete fading” theory of psychology. Under this method, students can intuitively and efficiently understand concepts of CUDA programming even if their theoretical knowledge bases are not sufficiently solid. The other method utilizes “self-determination” theory of psychology as well as gamification. We use this method to maintain the high concentration level of students. Effectiveness of our strategy is verified through comparative experiments. © Indian Pulp and Paper Technical Association. All rights reserved.";"03795462";NA;"China";"Scopus"
"552";"Implementation and evaluation of flipped classroom as IoT element into learning process of computer network education";618;"Zhamanov A., Yoo S.-M., Sakhiyeva Z., Zhaparov M.,";2018;"Article";"International Journal of Information and Communication Technology Education";"English";"Computer network education; Flipped classroom; Gamification; IoT element; Learning process; Smart devices; Teaching methods; Traditional learning";"Students nowadays are hard to be motivated to study lessons with traditional teaching methods. Computers, smartphones, tablets and other smart devices disturb students' attentions. Nevertheless, those smart devices can be used as auxiliary tools of modern teaching methods. In this article, the authors review two popular modern teaching methods: flipped classroom and gamification. Next, they implement flipped classrooms as an element of IoT (Internet of Things) into learning process of computer networks course, by using Cisco networking academy tools, instead of traditional learning. The survey provided to students shows good feedback from students. The authors report the impact of flipped classroom implementation with data obtained from two parallel sections (one flipped classroom and the other traditional classroom). The results show that the flipped classroom approach is better than the traditional classroom approach with a difference of approximately 20% increase in the average of attendance, lab work, quizzes, midterm exams and final exam. © 2018 IGI Global. All rights reserved.";"15501876";3;"United States";"Scopus"
"553";"Implementing a gamification methodology to motivate reading and writing in young university students [Implementando una metodología de gamificación para motivar la lectura y escritura en jóvenes universitarios]";784;"Aguilar A.F.G., Ramos A.F.A.,";2016;"Article";"Kepes";"Spanish";"Education; Gamification; Interaction; Language; Video Games";"This article presents a synthesis of the results of a research project conducted at Universidad Autónoma de Occidente that used gamification as a method to motivate reading and writing in the Oral and Written Expression course whose main focus is the development of skills around language and argumentation, and in which participate first semester students. Taking as a starting point a reflection about the concept of gamification, the experience of design and implementation of an online platform is presented, El Palabrero, enliven in a pre-Hispanic world of fiction whose purpose is to administer a game experience around the different types of argumentation as a classroom tool for language teachers. Five moments were proposed for the development of the research: (1) A phase of needs definition with Spanish Language Department professors and students taking the Oral-written Expression course at Universidad Autónoma de Occidente; (2) an exploration of the concept of gamification and an approach for its definition; (3) the design of the experience according to the established requirements; (4) implementation of the first model of the gamification methodology; and (5) validation of the gamification proposal with first semester students and Spanish language professors. A methodology for the creation of gamification projects in five stages was designed as a result of this process: Analysis, gamification, formalization, mediation, and packaging. The conclusions of this exercise serve as a reference to feed the discussion on gamification applied as a strategy to motivate the participation of users in contexts related to education.";"17947111";NA;"Colombia";"Scopus"
"555";"Improvement in the learning environment through gamification of the educational process";818;"Kirillov A.V., Vinichenko M.V., Melnichuk A.V., Melnichuk Y.A., Vinogradova M.V.,";2016;"Article";"Mathematics Education";"English";"Game mechanics; Gamification; Learning environment; Stress";"At the present time, the issues of gamification, including those, affecting the creation of favorable learning environment, draw more and more focused attention of many foreign and Russian scholars that conditions the relevance of the research. The purpose of the article is to represent the results of the study on the influence of gamification on improvement of the learning environment and its effectiveness. To identify the nature of views on the creation of favorable, safe learning environment by means of the implementation of the game technologies in the education of the students, there has been developed a methodology of sociological research, based on the general scientific methods, research and experimental events. Sociological methods (overt observation, questionnaires: interviewing, questioning), statistical methods, comparison methods, content analysis, visual and systematic analysis have been actively implemented. As part of the study it was found out that the existing system of motivation of educational and research activities of students in RSSU is estimated insufficiently high. Herewith, obtained experimental data point out that gamification enables to create the conditions for students' motivation for a long time, turning their training into educational and interesting game, contributes to the refinement of students' adoption of learning material and reduces the level of stress while waiting for the evaluation of their skills and knowledge, changes the behavior of the students, promotes the formation of new habits. The statement that in the course of the study student receives positive emotions, feeling alert and alive has served as the basis for the gamification implementation. © 2016 Kiryakova et al.";"13063030";30;"Russia";"Scopus"
"556";"Improvement of healthy lifestyle habits in university students through a gamification approach [Mejora de hábitos de vida saludables en alumnos universitarios mediante una propuesta de gamificación]";747;"Pérez-López I.J., Rivera García E., Delgado-Fernández M.,";2017;"Article";"Nutricion Hospitalaria";"Spanish";"Health education; Healthy eating; Healthy habits; Physical activity";"Introduction: Health education is one of the primary tools for health promotion, especially for those that will be responsible for educating on healthy habits in the future. Objective: To improve healthy lifestyle habits in university students through an educational intervention based on gamification. Method: A cuasiexperimental design of two groups (i.e., experimental groups and control group) with pretest and postest measurements was carried out. A 4-month intervention was implemented in 148 students from the Physical Activity and Sport Sciences university degree. Habits related to diet and physical activity were evaluated using a questionnaire (scaled from-40 a +50) and the teaching-learning process through a qualitative analysis. Results: At the end of the intervention, a very significant improvement was found in the global value of the healthy lifestyle habits of the experimental group (+13,5), highlighting the improvement obtained in its higher level of compliance in the breakfast (53,4%), in the number of diary meals (31,5%), in the reduction of the consumption of soft-drinks (19,2%) and in the increase of physical activity level, with an improvement of 12,3% of participants with respect to the baseline levels. On the other hand, no significant improvements were found in the control group. Conclusions: An educational intervention based on gamification improves healthy lifestyle habits of the students. © 2018, ARAN Ediciones S.A.. All rights reserved.";"02121611";14;"Spain";"Scopus"
"557";"Improving Climate-Change Literacy and Science Communication Through Smart Device Apps";284;"Leuzinger S., Borrelle S.B., Jarvis R.M.,";2019;"Article";"Frontiers in Education";"English";"digital education; gamification; global change; science app; smart device app";"Global change clearly one of the most important issues of the twenty-first century. Understanding of the impacts of large-scale human activities on communities, and how the natural world is being affected is arguably the largest area of research outside of the health sciences, and the two are intricately linked. Yet despite scientific consensus on human-induced climate change, many publics remain divided about its existence and impacts. More alarming still are the contradictory positions from leading governments around the world to address climate change. The most convincing scientific evidence is in vain if scientists fail to communicate key facts to policy makers or to the general public. Here, we investigate various “snakes” (pitfalls) and “ladders” (emerging opportunities) in science communication. Using the example of the “Global Change App,” we argue that science education apps may be a promising and underrated way forward to improve how information is communicated between scientists, students and citizens. Smart device apps could be an effective way translate research outputs beyond scientific journals, support science teaching, and make information on global change more translatable and relevant to the general public. © Copyright © 2019 Leuzinger, Borrelle and Jarvis.";"2504284X";NA;"New Zealand";"Scopus"
"558";"Improving sexual health education programs for adolescent students through game-based learning and gamification";524;"Haruna H., Hu X., Chu S.K.W., Mellecker R.R., Gabriel G., Ndekao P.S.,";2018;"Article";"International Journal of Environmental Research and Public Health";"English";"Adolescent students; Digital health technologies; Game-based learning; Gamification; MAKE framework; Prevention STIs and HIV/AIDS; Randomized controlled trial; Reduction unhealthy sexual behaviour; Sexual health education; Sexual well-being";"An effective innovative pedagogy for sexual health education is required to meet the demands of technology savvy digital natives. This study investigates the extent to which game-based learning (GBL) and gamification could improve the sexual health education of adolescent students. We conducted a randomized control trial of GBL and gamification experimental conditions. We made a comparison with traditional teaching as a control condition in order to establish differences between the three teaching conditions. The sexual health education topics were delivered in a masked fashion, 40-min a week for five weeks. A mixed-method research approach was uses to assess and analyze the results for 120 students from a secondary school in Dar Es Salaam, Tanzania. Students were divided into groups of 40 for each of the three teaching methods: GBL, gamification, and the control group (the traditional teaching method). The average post-test scores for GBL (Mean = 79.94, SD = 11.169) and gamification (Mean = 79.23, SD = 9.186) were significantly higher than the control group Mean = 51.93, SD = 18.705 (F (2, 117) = 54.75, p = 0.001). Overall, statistically significant differences (p ≤ 0.05) were found for the constructs of Motivation, Attitude, Knowledge, and Engagement (MAKE). This study suggests that the two innovative teaching approaches can be used to improve the sexual health education of adolescent students. The methods can potentially contribute socially, particularly in improving sexual health behaviour and adolescents’ knowledge in regions plagued by years of sexual health problems, including HIV/AIDS. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.";"16617827";16;"Hong Kong";"Scopus"
"559";"Improving the content of teacher training for the development and application of computer games in learning process";661;"Soboleva E.V., Karavaev N.L., Perevozchikova M.S.,";2017;"Article";"Novosibirsk State Pedagogical University Bulletin";"Russian";"Challenges the education system; Game-based practice; Gamification of learning; Pedagogic of game; Professional activity; Scratch; Teacher training";"Introduction: The article is devoted to solving the methodological problems associated with teacher training for planning and gamification of learning processes within information-based educational environments, taking into account the problems and needs of the society, new trends in the field of professional skills and needs of modern schoolchildren. The purpose of the article is to describe, on the basis of the analysis and generalization of methodological and scientific studies and experimental evaluation of the use of game-based learning technologies, the didactic features of teacher training aimed at using and creating games in educational and extracurricular activities. Materials and Methods: The methodology of work is based on the study of the results of psychological, educational, methodological and technical research investigations, as well as, on analysis of the computer educational games of foreign and domestic authors. The research methods include student surveys, analysis of scientific literature, and analysis of learning outcomes. Results: Firstly, the paper clarifies the conceptual basis of the learning process gamification methodology (game, gamification, game-based practice, game pedagogy). Secondly, the experimental work on formation of prospective teachers' competences in using and creating game elements in educational and extracurricular activities with the main focus on the Scratch environment is analyzed. The specific challenges facing teachers in the acquisition of knowledge, tools and methodology of gamification of the educational process are highlighted. Thirdly, the methodological characteristics of teachers mastering the basic theoretical knowledge and practical skills in creating simple games and developing game-based practice are described. Conclusions: In conclusion, the authors emphasize the need to move away from standard teaching templates, based on the requirements of modern schoolchildren, and propose the new approach to organizing learning environments according to the requirements and challenges of the society, the state, and modern education. Effective using of game-based technology in education is based on teacher training carried out in the context of solving tasks related to the main areas of their professional activities. © 2011-2017 NSPU Bulletin.";"22263365";10;"Russia";"Scopus"
